frame_idx,detector_ms,tracker_ms,total_ms
186,12.5300,4.4508,16.9807
187,11.6136,5.8401,17.4537
188,11.4748,4.4514,15.9261
189,11.7382,4.3290,16.0672
190,11.7537,4.5578,16.3115
191,12.1117,4.5195,16.6313
192,11.7383,4.5226,16.2609
193,13.2994,4.4695,17.7689
194,12.2267,4.5859,16.8126
195,12.1515,4.5876,16.7391
196,12.2025,4.2234,16.4260
197,11.8880,4.3379,16.2258
198,12.3450,4.4341,16.7791
199,11.9589,4.0004,15.9593
200,12.6137,4.2205,16.8342
201,12.2288,4.5111,16.7399
202,11.9042,4.3682,16.2724
203,13.1306,4.4797,17.6103
204,13.3387,4.3564,17.6951
205,11.6662,4.4100,16.0763
206,11.9699,4.5502,16.5200
207,12.9452,4.2155,17.1607
208,11.8441,4.2105,16.0546
209,12.3167,3.8892,16.2059
210,12.4986,4.0666,16.5652
211,11.6499,4.1102,15.7601
212,11.5769,4.1242,15.7011
213,13.8438,4.2307,18.0745
214,11.9198,4.1783,16.0981
215,12.4150,3.8389,16.2539
216,12.3764,4.4357,16.8121
217,11.5785,4.2070,15.7855
218,11.9851,4.2091,16.1942
219,11.8053,4.1908,15.9961
220,12.5483,4.0002,16.5485
221,12.8034,4.0422,16.8456
222,11.8340,3.8506,15.6846
223,11.9625,4.0944,16.0569
224,12.0729,3.7837,15.8566
225,12.3976,4.3949,16.7925
226,11.7747,4.4250,16.1997
227,12.7243,4.3412,17.0654
228,12.3955,4.6558,17.0513
229,11.5465,4.2564,15.8029
230,12.0048,3.8914,15.8962
231,11.4475,4.3513,15.7988
232,12.3737,3.9350,16.3088
233,12.2197,4.6166,16.8362
234,12.8825,4.3362,17.2188
235,11.8590,4.1088,15.9678
236,12.0455,4.1626,16.2081
237,12.5161,4.4140,16.9302
238,12.1488,4.2060,16.3548
239,12.1918,4.4963,16.6880
240,12.4908,4.3176,16.8084
241,12.8004,3.9939,16.7943
242,11.7380,4.4116,16.1495
243,11.7913,4.6583,16.4496
244,12.3438,4.3459,16.6897
245,12.7108,4.7552,17.4660
246,12.0041,4.5077,16.5118
247,12.9568,4.2868,17.2435
248,13.6599,4.1370,17.7970
249,12.8264,4.3505,17.1769
250,12.6113,4.2581,16.8694
251,12.0891,4.1159,16.2050
252,11.4941,4.2208,15.7149
253,12.7988,4.2974,17.0962
254,12.8931,4.4756,17.3687
255,12.2472,4.1626,16.4098
256,11.8465,4.1679,16.0144
257,12.5799,5.3114,17.8912
258,11.9864,3.9662,15.9526
259,11.9833,4.5624,16.5456
260,11.8714,4.3849,16.2563
261,12.5212,3.1801,15.7013
262,12.5154,3.3080,15.8233
263,12.6547,3.2773,15.9319
264,12.5549,3.3178,15.8728
265,12.7457,3.2937,16.0394
266,12.7438,5.0600,17.8038
267,12.4863,5.1770,17.6633
268,11.5685,5.2254,16.7939
269,12.7844,5.2938,18.0781
270,12.2502,5.0260,17.2761
271,11.8619,5.1414,17.0033
272,12.1957,5.1166,17.3124
273,14.0720,4.9737,19.0457
274,11.4555,4.6072,16.0627
275,11.9583,4.6896,16.6480
276,12.1829,4.9064,17.0893
277,11.4878,4.6009,16.0887
278,11.3979,5.1709,16.5689
279,12.0952,5.0561,17.1514
280,11.6337,5.4223,17.0560
281,12.9334,4.8749,17.8083
282,11.7069,5.1212,16.8282
283,12.5219,4.7623,17.2843
284,11.9625,4.7179,16.6804
285,12.5979,4.5065,17.1044
286,18.1114,9.9070,28.0184
287,20.6031,6.3060,26.9091
288,14.0276,4.7974,18.8250
289,12.3879,5.0225,17.4105
290,12.2709,4.9480,17.2189
291,13.3406,5.1094,18.4501
292,12.5682,4.7090,17.2771
293,11.9036,4.2775,16.1811
294,12.3080,3.9416,16.2496
295,15.2389,4.9983,20.2372
296,11.8733,4.3425,16.2159
297,12.2598,4.5174,16.7772
298,13.0826,4.3615,17.4441
299,12.1372,4.3001,16.4373
300,11.8851,4.3124,16.1975
301,15.2051,8.7543,23.9594
302,17.0833,5.9248,23.0081
303,19.8495,6.7547,26.6043
304,17.3796,6.1490,23.5287
305,16.5571,3.1210,19.6781
306,13.5575,3.5524,17.1099
307,13.3712,3.4615,16.8327
308,13.1968,3.4433,16.6401
309,13.8854,3.6264,17.5118
310,13.4765,5.5193,18.9958
311,11.7122,4.5762,16.2883
312,12.2949,4.7172,17.0120
313,12.8737,4.7986,17.6723
314,12.0942,4.7197,16.8139
315,13.0989,4.8572,17.9561
316,11.6584,4.5296,16.1880
317,11.5917,4.2476,15.8393
318,12.6932,4.7329,17.4261
319,12.2289,4.5119,16.7408
320,11.7245,4.5819,16.3063
321,12.9211,4.5929,17.5140
322,12.2712,4.2871,16.5583
323,11.8264,4.5765,16.4029
324,12.8814,4.2420,17.1233
325,11.9277,4.3445,16.2722
326,11.4922,4.5669,16.0591
327,12.9341,4.6738,17.6079
328,11.4293,4.3390,15.7683
329,14.5297,4.4063,18.9360
330,12.3285,4.1476,16.4761
331,11.8137,3.9981,15.8118
332,11.7105,4.1010,15.8115
333,12.2611,4.1956,16.4567
334,11.6873,4.1763,15.8636
335,12.8231,4.4302,17.2533
336,11.9912,4.0611,16.0522
337,13.3892,3.9703,17.3596
338,13.6336,3.8798,17.5133
339,12.4277,4.1083,16.5361
340,12.2203,3.6669,15.8871
341,12.5943,3.2593,15.8536
342,11.8375,4.6237,16.4612
343,11.6912,3.7797,15.4708
344,12.0148,3.7593,15.7740
345,11.4946,3.1971,14.6917
346,12.8086,3.4018,16.2104
347,12.7920,3.4506,16.2426
348,11.4438,3.3234,14.7672
349,12.2161,3.1945,15.4106
350,11.6884,3.6016,15.2901
351,11.6669,3.2402,14.9071
352,11.6306,4.0083,15.6389
353,11.5133,4.1499,15.6632
354,12.5380,3.6472,16.1852
355,11.4005,3.8418,15.2423
356,12.0333,3.5250,15.5584
357,11.9537,2.3555,14.3092
358,11.5243,2.3924,13.9167
359,12.2095,2.4611,14.6706
360,11.9961,2.4742,14.4703
361,11.9747,2.6942,14.6689
362,13.2327,4.4915,17.7241
363,11.8029,4.2178,16.0207
364,11.8420,4.2008,16.0428
365,14.3219,4.2174,18.5393
366,11.3734,3.9827,15.3561
367,11.3428,3.7537,15.0966
368,11.3919,4.2484,15.6402
369,11.6542,4.1543,15.8085
370,11.6162,3.9282,15.5444
371,11.7913,3.9433,15.7346
372,13.1537,4.7906,17.9444
373,12.3561,4.6435,16.9996
374,11.9507,3.8957,15.8464
375,11.9186,4.2937,16.2123
376,11.7845,4.4890,16.2734
377,11.4422,3.7688,15.2110
378,12.5754,3.5958,16.1712
379,12.0463,3.6444,15.6908
380,12.3398,3.7795,16.1193
381,13.1531,4.0426,17.1957
382,12.4239,4.5607,16.9846
383,12.1313,5.0934,17.2247
384,12.8973,5.6262,18.5236
385,12.6319,4.5507,17.1826
386,12.1390,4.6182,16.7572
387,12.3594,4.6815,17.0408
388,11.9744,4.2594,16.2338
389,12.5997,4.3466,16.9463
390,12.4174,5.4909,17.9082
391,14.2724,4.3879,18.6603
392,12.3359,4.6560,16.9918
393,13.3406,5.4721,18.8127
394,13.1013,4.4678,17.5692
395,11.7158,4.4530,16.1688
396,12.6721,4.7138,17.3859
397,12.4146,4.5997,17.0143
398,12.9618,5.8309,18.7927
399,13.9978,5.0845,19.0823
400,11.5028,3.7895,15.2923
401,13.5847,4.0674,17.6521
402,12.7165,4.0406,16.7571
403,14.0138,4.6877,18.7015
404,14.7105,4.7583,19.4688
405,12.8883,4.7975,17.6858
406,12.8665,5.2073,18.0738
407,13.7584,5.1273,18.8857
408,12.7534,5.1336,17.8870
409,13.0280,4.9994,18.0274
410,13.7626,4.6147,18.3773
411,13.1265,4.5105,17.6370
412,13.3625,4.8461,18.2087
413,12.6934,4.3364,17.0298
414,12.5869,4.3955,16.9824
415,12.6899,4.3371,17.0269
416,12.4760,3.8135,16.2895
417,12.1933,4.1950,16.3883
418,12.0232,4.8960,16.9192
419,12.5680,4.1846,16.7526
420,11.3447,4.2140,15.5588
421,12.9984,4.0905,17.0889
422,12.6942,4.3436,17.0377
423,12.3947,4.9079,17.3025
424,13.8810,4.9537,18.8347
425,12.6578,4.2839,16.9417
426,12.1951,5.0674,17.2626
427,11.5361,4.4891,16.0252
428,12.4829,4.1471,16.6300
429,11.9649,3.9234,15.8883
430,11.3262,3.9790,15.3052
431,12.7607,3.8366,16.5973
432,11.8913,3.8403,15.7317
433,11.9581,3.6854,15.6435
434,12.5183,3.4702,15.9885
435,11.8532,3.6769,15.5301
436,12.2970,3.4798,15.7768
437,13.6859,3.4830,17.1689
438,11.6191,3.5220,15.1411
439,12.4022,3.5464,15.9486
440,12.0584,3.7647,15.8231
441,11.8302,2.9792,14.8093
442,12.0585,3.2819,15.3404
443,11.7889,3.7055,15.4944
444,11.4737,3.1384,14.6121
445,12.0997,3.2081,15.3078
446,11.9202,3.3092,15.2294
447,12.1489,3.5267,15.6757
448,11.4563,3.7012,15.1574
449,12.0212,2.9658,14.9869
450,12.7680,4.9779,17.7459
451,11.7176,3.2961,15.0137
452,11.7950,3.3026,15.0975
453,12.5687,3.7168,16.2855
454,11.4814,3.2534,14.7348
455,11.4476,3.4746,14.9222
456,12.0264,2.5476,14.5740
457,11.9400,2.4282,14.3682
458,12.6406,2.8116,15.4522
459,11.9156,2.9584,14.8740
460,12.7196,3.2107,15.9303
461,11.7445,4.0406,15.7852
462,11.8129,3.4816,15.2945
463,12.2925,3.5508,15.8433
464,11.4146,3.4499,14.8644
465,11.9892,3.9502,15.9395
466,11.9968,4.2944,16.2912
467,11.4154,3.6470,15.0625
468,11.9174,3.6364,15.5538
469,12.7075,3.8231,16.5306
470,12.9422,3.5950,16.5372
471,11.9271,3.6414,15.5685
472,12.1454,3.4961,15.6415
473,11.9361,3.9415,15.8776
474,12.3896,3.6324,16.0220
475,11.5009,3.9025,15.4034
476,12.4702,3.4659,15.9361
477,11.5398,4.2065,15.7463
478,13.4986,4.2378,17.7363
479,12.7827,4.4647,17.2473
480,11.5606,3.7655,15.3261
481,12.6347,4.2476,16.8823
482,11.9421,4.0525,15.9946
483,11.7464,4.0024,15.7488
484,11.6844,4.4865,16.1708
485,11.9120,4.3919,16.3039
486,11.7347,4.1789,15.9137
487,13.7247,4.0350,17.7597
488,12.0117,4.8357,16.8475
489,12.6829,3.8189,16.5018
490,12.5607,3.3932,15.9539
491,11.5275,3.4269,14.9544
492,11.4486,3.3263,14.7748
493,11.9752,3.1709,15.1461
494,11.5025,3.4542,14.9567
495,13.6471,3.2906,16.9377
496,11.4417,3.6745,15.1162
497,11.4287,3.2572,14.6858
498,12.0838,3.6167,15.7005
499,11.2756,3.7465,15.0221
