Tracker,HOTA,DetA,AssA,MOTA,IDF1,IDSW
ByteTrack (τ=0.3),53.72,67.35,43.3,84.92,61.29,3389
ByteTrack (τ=0.4),53.35,65.89,43.62,83.19,61.51,3137
ByteTrack (τ=0.5),50.63,56.08,45.92,70.63,58.52,2240
ByteTrack+CMC,65.82,69.23,63.02,87.66,82.05,1134
DeepSORT,53.49,66.63,43.33,83.16,61.62,4368
